,artist_name,track_name,track_id,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Cubicolor,Fictionalise - Lindstrom & Prins Thomas Extended Mix,1m8BthDjfQS47iuULONgLi,12,0.051,https://api.spotify.com/v1/audio-analysis/1m8BthDjfQS47iuULONgLi,0.635,583263,0.829,0.742,1,0.113,-8.771,0,0.0415,116.989,4,https://api.spotify.com/v1/tracks/1m8BthDjfQS47iuULONgLi,audio_features,spotify:track:1m8BthDjfQS47iuULONgLi,0.636
1,Cubicolor,Fictionalise - Lindstrom & Prins Thomas Remix,40X549muIHXIvWoj2S6MKb,16,0.135,https://api.spotify.com/v1/audio-analysis/40X549muIHXIvWoj2S6MKb,0.616,312301,0.863,0.556,1,0.158,-10.52,0,0.0377,116.978,4,https://api.spotify.com/v1/tracks/40X549muIHXIvWoj2S6MKb,audio_features,spotify:track:40X549muIHXIvWoj2S6MKb,0.527
2,Cubicolor,Dead End Thrills - Patrice Bäumel Remix,3MEjDXwQWnDzqwRanBgFzm,37,0.28,https://api.spotify.com/v1/audio-analysis/3MEjDXwQWnDzqwRanBgFzm,0.7,443661,0.673,0.24,7,0.102,-10.217,1,0.0374,122.008,3,https://api.spotify.com/v1/tracks/3MEjDXwQWnDzqwRanBgFzm,audio_features,spotify:track:3MEjDXwQWnDzqwRanBgFzm,0.143
3,Cubicolor,Counterpart,2Jm5TBQziCdySQg2J7w0PN,33,0.42,https://api.spotify.com/v1/audio-analysis/2Jm5TBQziCdySQg2J7w0PN,0.361,314043,0.471,0.884,0,0.084,-12.726,1,0.0441,122.845,4,https://api.spotify.com/v1/tracks/2Jm5TBQziCdySQg2J7w0PN,audio_features,spotify:track:2Jm5TBQziCdySQg2J7w0PN,0.0392
4,Cubicolor,No Dancers,6NH78lyZkS05PotKqg0ZKw,45,0.0146,https://api.spotify.com/v1/audio-analysis/6NH78lyZkS05PotKqg0ZKw,0.577,347717,0.853,0.438,6,0.249,-11.989,0,0.0384,119.988,4,https://api.spotify.com/v1/tracks/6NH78lyZkS05PotKqg0ZKw,audio_features,spotify:track:6NH78lyZkS05PotKqg0ZKw,0.14
5,Cubicolor,Down The Wall - Original Mix,1YnledDwQdqLATAe1GBSuO,49,0.334,https://api.spotify.com/v1/audio-analysis/1YnledDwQdqLATAe1GBSuO,0.682,557279,0.63,0.907,1,0.159,-12.679,1,0.042,110.001,4,https://api.spotify.com/v1/tracks/1YnledDwQdqLATAe1GBSuO,audio_features,spotify:track:1YnledDwQdqLATAe1GBSuO,0.209
6,Metallica,Enter Sandman - Live with the SFSO,0T3Pft6gyhtBCrGOsSrvlE,36,0.000144,https://api.spotify.com/v1/audio-analysis/0T3Pft6gyhtBCrGOsSrvlE,0.278,459133,0.97,0.0481,10,0.966,-4.537,0,0.145,131.288,4,https://api.spotify.com/v1/tracks/0T3Pft6gyhtBCrGOsSrvlE,audio_features,spotify:track:0T3Pft6gyhtBCrGOsSrvlE,0.152
7,Metallica,Battery - Live with the SFSO,2T9a3ToWrj8ijGUzCtlRNz,34,0.000109,https://api.spotify.com/v1/audio-analysis/2T9a3ToWrj8ijGUzCtlRNz,0.239,444667,0.976,0.362,11,0.954,-5.29,1,0.344,96.485,4,https://api.spotify.com/v1/tracks/2T9a3ToWrj8ijGUzCtlRNz,audio_features,spotify:track:2T9a3ToWrj8ijGUzCtlRNz,0.125
8,Metallica,One - Live with the SFSO,1L3xLJzYMRCN6ydha1XF42,37,6.57e-06,https://api.spotify.com/v1/audio-analysis/1L3xLJzYMRCN6ydha1XF42,0.292,473067,0.949,0.279,10,0.992,-5.735,0,0.134,124.283,4,https://api.spotify.com/v1/tracks/1L3xLJzYMRCN6ydha1XF42,audio_features,spotify:track:1L3xLJzYMRCN6ydha1XF42,0.238
9,Metallica,Master of Puppets (Remastered),54bm2e3tk8cliUz3VSdCPZ,66,0.00067,https://api.spotify.com/v1/audio-analysis/54bm2e3tk8cliUz3VSdCPZ,0.539,515387,0.828,0.421,4,0.154,-9.108,0,0.035,105.25,4,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,audio_features,spotify:track:54bm2e3tk8cliUz3VSdCPZ,0.562
10,Metallica,Sad But True - Live with the SFSO,5snyl56jcL8JMOqR02HYCA,35,1.59e-05,https://api.spotify.com/v1/audio-analysis/5snyl56jcL8JMOqR02HYCA,0.294,346267,0.977,0.00209,7,0.928,-3.732,1,0.0731,92.375,4,https://api.spotify.com/v1/tracks/5snyl56jcL8JMOqR02HYCA,audio_features,spotify:track:5snyl56jcL8JMOqR02HYCA,0.243
11,Metallica,The Outlaw Torn - Live with the SFSO,7C9TNEdXSMJjuJS5hczUXj,34,1.65e-05,https://api.spotify.com/v1/audio-analysis/7C9TNEdXSMJjuJS5hczUXj,0.327,598907,0.882,0.00419,10,0.983,-5.307,0,0.0493,126.022,4,https://api.spotify.com/v1/tracks/7C9TNEdXSMJjuJS5hczUXj,audio_features,spotify:track:7C9TNEdXSMJjuJS5hczUXj,0.389
